"","species","song","call","complex.motifs","basic.motif","series","different.syllable","simple.syllable","same.variable.syllable"
"18","Myotis_oxygnathus",0,1,0,0,1,0,0,1
"1","Tadarida_brasiliensis",1,0,1,0,0,0,0,0
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cardioderma_cor",1,0,0,1,0,1,0,0
"19","Neoromicia_nana",0,1,0,0,1,0,1,0
"20","Carollia_perspicillata",0,1,0,0,1,0,0,1
"3","Lavia_frons",0,1,0,1,0,0,1,0
"10","Vespertilio_murinus",1,0,0,1,0,1,0,0
"11","Pipistrellus_nathusii",1,0,1,0,0,1,0,0
"9","Nyctalus_leisleri",1,0,0,1,0,1,0,0
"14","Pipistrelllus_pygmaeus",1,0,0,1,0,0,1,0
"12","Pipistrellus_hanaki",1,0,0,1,0,1,0,0
"13","Pipistrellus_pipistrellus",1,0,0,1,0,0,1,0
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Pipistrellus_kuhli",1,0,0,1,0,0,1,0
"17","Myotis_myotis",0,1,0,0,1,0,0,1
"16","Pipistrellus_maderensis",1,0,0,1,0,0,1,0
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Coleura_seychellensis",1,0,0,0,1,1,0,0
"7","Rhinolophus_ferrumequinum",1,0,0,0,1,1,0,0
"4","Megaderma_lyra",1,0,1,0,0,1,0,0
"5","Saccopteryx_bilineata",1,0,0,1,0,1,0,0
"8","Nyctalus_noctula",1,0,1,0,0,1,0,0
