"","species","belly.PC1","belly.PC2","breast.PC1","breast.PC2","cheek.PC1","cheek.PC2","chin.PC1","chin.PC2","crown.PC1","crown.PC2","dorsal_tail.PC1","dorsal_tail.PC2","flank.PC1","flank.PC2","mantle.PC1","mantle.PC2","nape.PC1","nape.PC2","prim_sec.PC1","prim_sec.PC2","rump.PC1","rump.PC2","scapular.PC1","scapular.PC2","tail_coverts.PC1","tail_coverts.PC2","throat.PC1","throat.PC2","wing_coverts.PC1","wing_coverts.PC2"
"59","Syrmaticus_reevesii",3.30171456,-0.405478737,0.958550484,0.411940766,0.102665935,2.588672894,4.580260364,-4.272444417,8.337396464,5.142107106,1.5165094,-1.229045607,5.094181051,4.135146716,-10.63828323,1.853640738,-2.283724156,-0.801528826,0.929167656,-1.088185837,9.295064113,-3.216262172,16.27974697,4.28487111,9.980234767,-2.117479554,-0.062610665,1.640061037,3.386956071,3.411487606
"23","Francolinus_francolinus",3.111209512,0.101313966,-3.280358599,-0.052582193,6.163528904,6.185539449,-2.938506069,-0.120081555,-1.569023662,-0.303712375,-0.820331247,1.429110254,-3.9362494,-0.827702872,2.464264257,-0.759273254,2.262616003,-1.901562597,-7.495371871,-4.424042466,-2.102817861,0.653582565,-1.056600801,-0.855500497,-1.821496911,0.269393225,2.153325152,-3.422114527,-0.191437688,-0.94094028
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Coturnix_japonica",-6.576579358,1.778274919,8.353246747,-0.030889448,9.351627399,1.219855327,1.629021865,1.082558436,-0.222983773,-0.54985515,4.949746956,-3.946556848,6.902676778,-1.358565106,-1.437469285,-0.590800431,0.058166014,0.074291596,-1.922309116,-0.537131036,-2.092204029,0.31374187,-0.37516281,-0.33412906,-1.811204337,0.572415361,8.59494713,3.068366297,2.997810742,0.70498869
"17","Chrysolophus_pictus",-1.214174707,-6.17420576,3.813993066,7.611806588,2.293494094,-1.127819396,1.374377437,4.994411956,26.2356233,-0.237585598,2.460099838,-1.311968557,1.200011446,6.595855656,1.79834645,0.310227368,13.80331778,-2.791828767,1.63801909,-1.233989183,13.68974657,-5.930722071,2.640561398,-4.171667557,12.01406172,1.339179263,3.115606051,-3.395200006,-2.753516125,-2.557203518
"18","Coturnix_coturnix",-7.852279949,0.78754791,9.401868867,1.693806992,8.560662098,0.785676734,0.837948117,1.447794965,-0.585917684,-0.648665634,1.146743985,-0.353485568,7.916634064,2.674741999,-1.763406437,-0.533856309,3.181994105,0.262317254,-2.335743994,-1.045329135,-2.064950901,-0.176300957,-0.385393925,-0.854063519,-1.650191479,0.665774287,9.218857501,1.106237627,3.753903162,0.350332368
"1","Acryllium_vulturinum",13.62761908,6.867251397,-9.313640348,-0.934428578,-2.839761382,0.059151689,-3.319213701,-0.347615471,-2.527120219,-0.101270768,-1.272411463,1.769225354,-4.102708809,-0.535707302,9.701395045,-1.266380588,-2.245216209,-0.53764923,2.215884245,1.562276077,-2.749678822,0.26035596,-2.102094769,-0.572355024,-2.868655156,0.749755201,-2.736190079,-0.028953907,-2.8465838,-1.164571102
"8","Arborophila_rufogularis",-3.351703124,1.350910122,-1.414808125,-0.171051864,5.747377357,0.545837591,3.610886219,4.387006658,0.661618923,-0.913624637,0.681592032,0.102514201,1.476083689,3.788645024,0.372555454,-0.612204884,-0.447436218,-0.792869703,0.529997943,-0.793642215,-0.859171862,-0.477033737,0.722203427,-0.49663759,-0.20045956,0.588249841,-0.587742295,-0.668831624,1.567310849,-0.051302137
"7","Alectura_lathami",-0.26227212,0.636312399,-2.383991241,0.353953484,-2.883973362,-0.081547865,-3.367451567,-0.222521081,-2.553256608,-0.125142502,-1.493156694,2.136352601,-2.904472686,-0.088223413,2.262509221,-0.894224583,-3.047065745,-0.304388426,3.11526335,0.785500082,-2.152357978,-0.504945339,-2.078812617,-1.036917651,-2.389104822,0.99885626,-2.778764239,-0.119664418,-2.125173905,-1.358465084
"27","Gallus_gallus",2.847448934,-0.140524842,-2.858702852,0.226325114,-2.835334077,0.078184264,-3.314094465,-0.36281958,-2.541905925,-0.108428823,-0.235312155,0.618862078,-3.347719649,-0.442328095,2.51463086,-0.6182429,4.9733717,-4.155642421,-1.31012425,-3.037411271,3.632933511,-5.555938482,2.273352354,-3.338277618,-2.392359066,-0.01872386,-2.731326224,-0.019472449,-3.718643395,0.213355232
"2","Afropavo_congensis",3.393639875,0.329966532,-4.783269246,0.462332635,-2.868103882,-0.018794965,-2.82441647,0.091731734,-2.177882241,-0.304583953,-2.983732012,5.80204913,-3.80151556,-0.707409713,4.768780312,-1.271530637,-2.898549468,-0.390774306,2.667970509,0.448117271,-2.973640428,0.030830245,-2.295131485,-0.653782172,-2.751751535,0.727321577,-2.771200559,-0.094064597,-6.708982957,-2.619242241
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
