Species,TotalOrnamentValue(PreviouslyPublished),MaleBodyMass(SSDDataset).in.g,FemalesPerMaleInBreedingGroup,MalesPerBreedingGroup,SocialGroupSize,FemaleBody(SSDDataset).in.g,SexualSizeDimorphism,MaleCanineHeight.in.mm,FemaleCanineHeight.in.mm,SexualCanineDimorphism,MaleBodyMass(CanineDataset).in.g,CombinedTestesMass.in.g,MaleBodymass(TestesDataset).in.g,meanMaleBodyMass.in.g,HeadFlesh,HeadSkin,HeadHair,BodyFlesh,BodySkin,BodyHair,BodyPelageDichrom,GenitalFlesh,GenitalSkin,GenitalHair,SexualOrnamentDimorphism_(ExcludingDichromatism),SexualOrnamentDimorphism
Alouatta_palliata,0,7150,2.5,2,15.1,5350,1.24,14.58,8.56,1.703,7030,5800,24,6660,0,0,0,0,0,0,0,0,0,0,0,0
Alouatta_pigra,0,11400,,,6.3,6430,1.773,11.31,10.2,1.109,11400,7600,12,10133,0,0,0,0,0,0,0,0,0,0,0,0
Cercopithecus_ascanius,0,3700,,1,28.7,2920,1.267,16.13,10.3,1.566,3700,5360,3,4253,0,0,0,0,0,0,0,0,0,0,0,0
Cercopithecus_cephus,0,4290,,,6,2880,1.49,16.32,9.59,1.702,4290,,,4290,0,0,0,0,0,0,0,0,0,0,0,0
Cercopithecus_erythrogaster,0,4100,,,6,2400,1.708,16.67,9.42,1.77,4100,,,4100,0,0,0,0,0,0,0,0,0,0,0,0
Cercopithecus_mona,0,4768,,,9.8,3700,1.289,17.76,9.32,1.906,4770,,,4769,0,0,0,0,0,0,0,0,0,0,0,0
Cercopithecus_nictitans,0,6670,,,12,4260,1.566,18.1,11.22,1.613,6670,,,6670,0,0,0,0,0,0,0,0,0,0,0,0
Cercopithecus_petaurista,0,4400,,,10.7,2900,1.517,16.16,9.09,1.778,4400,,,4400,0,0,0,0,0,0,0,0,0,0,0,0
Cercopithecus_pogonias,0,4260,,,11.7,2900,1.469,16.22,9.28,1.748,4260,,,4260,0,0,0,0,0,0,0,0,0,0,0,0
Pan_paniscus,0,45000,,8,30.5,33200,1.355,15.56,11.24,1.384,45000,39100,135.2,43033,0,0,0,0,0,0,0,0,0,0,0,0
Pan_troglodytes,0,59700,1,10,47.8,45800,1.303,21.72,15.26,1.423,59700,44670,128.9,54690,0,0,0,0,0,0,0,0,0,0,0,0
Hylobates_klossii,0,5670,1,,4.3,5920,0.958,16.06,16.62,0.966,5670,,,5670,0,0,0,0,0,0,0,0,0,0,0,0
Hylobates_lar,0,5900,1,1,4.4,5340,1.105,18.32,15.79,1.16,5900,5500,5.5,5767,0,0,0,0,0,0,0,0,0,0,0,0
Eulemur_fulvus,0,2180,1.2,3.8,9.2,2250,1,11.87,10.09,1.176,2400,2130,20.489,2237,0,0,0,0,0,0,0,0,0,0,0,0
Hapalemur_griseus,0,987,,1.3,2.6,903,1.119,5.94,5.91,1.005,750,1094,2.1,944,0,0,0,0,0,0,0,0,0,0,0,0
Lemur_catta,0,2210,1.1,4.5,15.3,2210,1,10.86,9.16,1.186,2210,2700,17.8,2373,0,0,0,0,0,0,0,0,0,0,0,0
Cercocebus_torquatus,0,11000,,,21.8,6200,1.722,23.53,9.53,2.469,9470,,,10235,0,0,0,0,0,0,0,0,0,0,0,0
Lophocebus_albigena,0,8250,,5,16.1,6020,1.37,19.14,8.75,2.187,8250,,,8250,0,0,0,0,0,0,0,0,0,0,0,0
Callicebus_moloch,0,1020,1,1,3.5,956,1.063,4.36,4.04,1.079,1020,,,1020,0,0,0,0,0,0,0,0,0,0,0,0
