Species,MaleBodyMass(SSDDataset).in.g,male.body.mass.kg,MaleCanineHeight.in.mm
Allenopithecus_nigroviridis,6130,6.13,18.41
Alouatta_caraya,6420,6.42,14.74
Alouatta_guariba,6730,6.73,13.98
Alouatta_palliata,7150,7.15,14.58
Alouatta_pigra,11400,11.4,11.31
Alouatta_seniculus,6690,6.69,13.54
Aotus_trivirgatus,813,0.813,5.34
Ateles_geoffroyi,7450,7.45,11.51
Ateles_paniscus,9110,9.11,12.11
Avahi_laniger,1030,1.03,3.58
Brachyteles_arachnoides,9610,9.61,9.47
Cacajao_calvus,3450,3.45,13.58
Callicebus_moloch,1020,1.02,4.36
Callicebus_torquatus,1280,1.28,4.34
Callithrix_jacchus,317,0.317,5.08
Callithrix_penicillata,344,0.344,5.4
Cebuella_pygmaea,110,0.11,3.08
Cebus_apella,3650,3.65,14.1
Cebus_capucinus,3680,3.68,14.25
Cebus_olivaceus,3290,3.29,14.35
Cercocebus_atys,NA,11,23.53
Cercocebus_torquatus,11000,11,23.53
Cercopithecus_aethiops,NA,4.26,17.66
Cercopithecus_ascanius,3700,3.7,16.13
Cercopithecus_cephus,4290,4.29,16.32
Cercopithecus_diana,5200,5.2,19.94
Cercopithecus_erythrogaster,4100,4.1,16.67
Cercopithecus_lhoesti,5970,5.97,19.93
Cercopithecus_mitis,7930,7.93,19.47
Cercopithecus_mona,4768,4.768,17.76
Cercopithecus_neglectus,7350,7.35,20.68
Cercopithecus_nictitans,6670,6.67,18.1
Cercopithecus_petaurista,4400,4.4,16.16
Cercopithecus_pogonias,4260,4.26,16.22
Cercopithecus_wolfi,3910,3.91,18.06
Cheirogaleus_medius,283,0.283,3.75
Chiropotes_satanas,2900,2.9,11.09
Chlorocebus_aethiops,4260,4.26,17.66
Chlorocebus_pygerythrus,4290,4.29,20.4
Colobus_angolensis,9680,9.68,17.66
Colobus_guereza,13500,13.5,20.31
Colobus_polykomos,9900,9.9,19.13
Colobus_satanas,10420,10.42,16.08
Erythrocebus_patas,12400,12.4,26.5
Eulemur_coronatus,1690,1.69,9.43
Eulemur_fulvus,2180,2.18,11.87
Eulemur_macaco,2370,2.37,10.58
Eulemur_mongoz,1630,1.63,9.63
Eulemur_rubriventer,1980,1.98,10.49
Galago_senegalensis,NA,0.23,4.01
Gorilla_beringei,162500,162.5,30.1
Gorilla_gorilla,170400,170.4,30.26
Hapalemur_griseus,987,0.987,5.94
Homo_sapiens,72100,72.1,10.85
Hylobates_klossii,5670,5.67,16.06
Hylobates_lar,5900,5.9,18.32
Hylobates_muelleri,NA,NA,19.6
Hylobates_pileatus,5500,5.5,16.75
Lagothrix_lagotricha,7280,7.28,14.23
Lemur_catta,2210,2.21,10.86
Lophocebus_albigena,8250,8.25,19.14
Macaca_fascicularis,5360,5.36,24.09
Macaca_fuscata,11000,11,19.56
Macaca_mulatta,11000,11,16.97
Macaca_nemestrina,11200,11.2,28.89
Macaca_nigra,9890,9.89,29.73
Macaca_silenus,8900,8.9,24.66
Macaca_sinica,5680,5.68,19.69
Macaca_sylvanus,16000,16,22.81
Macaca_tonkeana,14900,14.9,24.66
Mandrillus_leucophaeus,17500,17.5,47.97
Mandrillus_sphinx,31600,31.6,49.58
Microcebus_murinus,NA,0.06,2.07
Miopithecus_talapoin,1380,1.38,11.35
Nasalis_larvatus,20400,20.4,22.96
Nomascus_concolor,7790,7.79,19.11
Nycticebus_coucang,NA,0.68,7.05
Otolemur_crassicaudatus,NA,1.19,8.95
Pan_paniscus,45000,45,15.56
Pan_troglodytes,59700,59.7,21.72
Papio_anubis,25100,25.1,35.43
Papio_cynocephalus,21800,21.8,27.39
Papio_hamadryas,21000,21,30.64
Papio_ursinus,29800,29.8,46.53
Piliocolobus_badius,8360,8.36,13.31
Pithecia_pithecia,1940,1.94,8.9
Pongo_abelii,77900,77.9,28
Pongo_pygmaeus,78500,78.5,27
Presbytis_comata,6680,6.68,13.92
Presbytis_melalophos,6590,6.59,13.95
Procolobus_verus,4700,4.7,14.9
Propithecus_verreauxi,3250,3.25,8.41
Pygathrix_nemaeus,11000,11,16.06
Rhinopithecus_avunculus,NA,NA,17.5
Rhinopithecus_roxellana,17900,17.9,20.06
Saguinus_fuscicollis,343,0.343,5.66
Saguinus_midas,515,0.515,5.37
Saguinus_oedipus,418,0.418,5.65
Saimiri_boliviensis,911,0.911,6.65
Saimiri_oerstedii,897,0.897,7.38
Saimiri_sciureus,779,0.779,7.1
Semnopithecus_entellus,13000,13,18.44
Symphalangus_syndactylus,11900,11.9,21.45
Theropithecus_gelada,19000,19,39.62
Trachypithecus_cristatus,6610,6.61,18.57
Trachypithecus_francoisi,7700,7.7,17.91
Trachypithecus_obscurus,7900,7.9,15.44
Trachypithecus_pileatus,12000,12,19.85
Trachypithecus_vetulus,8170,8.17,16.96
Varecia_variegata,NA,3.63,13.08
