"","species","maleUCH","UCW..M.","UCL..M.","LCH..M.","LCW..M.","LCL..M.","SL..M.","BCAL..M.","UCrL..M.","UCrW..M.","LCrL..M.","LCrW..M.","MAT..M.","MAM..M.","MAR..M.","Sx..M.","Sy..M.","femaleUCH","UCW..F.","UCL..F.","LCH..F.","LCW..F.","LCL..F.","SL..F.","BCAL..F.","UCrL..F.","UCrW..F.","LCrL..F.","LCrW..F.","MAT..F.","MAM..F.","MAR..F.","Sx..F.","Sy.F."
"22","Eira_barbara",16.77,6.13,8.42,15.93,6.78,9.21,116.34,43.02,9.69,7.63,9.67,5.33,27.24,12.74,75.16,2.55,1.87,15.27,5.53,7.85,15.21,5.95,8.61,110.29,41.6,9.56,9.32,9.65,5.79,24.83,12.64,70.84,2.2,1.56
"24","Mungos_mungo",7.26,2.3,3.49,7.07,2.58,3.62,68.44,13.01,3.3,5.52,4.17,3.26,10.76,6.4,46.15,0.38,0.25,6.9,2.37,3.37,6.41,2.51,3.14,67.56,12.87,3.29,5.59,4.12,3.26,10.64,6.06,46.01,0.39,0.27
"23","Lutra_lutra",12.96,5.28,5.91,10.84,5.21,6.62,111.75,30.27,10.42,8.49,13.49,6.11,25.39,9.89,74.18,1.4,1.25,12.12,4.94,5.3,9.81,4.64,6.11,104.05,28.77,10.28,8.17,12.58,5.62,23.89,10.2,68.22,1.12,1.05
"25","Herpestes_edwardsii",8.76,2.48,3.48,7.94,2.74,4.01,73.97,22.07,7.16,2.68,6.65,3.69,13.62,7.31,50.82,0.34,0.25,8.13,2.49,3.43,7.51,2.72,3.55,73.21,20.65,7.35,2.7,6.65,3.6,12.74,7.68,50.49,0.35,0.26
"37","Proteles_cristatus",14.21,4.52,6.46,12.52,4.64,5.86,133.11,39.22,3.09,2.06,3.16,1.93,15.93,11.52,93.02,1.31,0.92,13.55,4.52,6.67,11.25,4.38,5.83,133.74,40.46,3.38,1.92,3.45,1.86,15.38,12.06,93.74,1.46,0.99
"30","Ichneumia_albicauda",10.48,3.67,4.95,10.39,3.91,5.6,107.56,34.77,7.91,3.86,8.14,4.63,18.74,10.58,78.05,0.84,0.63,10.28,3.27,4.56,9.8,3.6,4.75,101.69,32.48,7.47,4.94,7.57,4.5,18.87,10.33,76.22,0.65,0.47
"29","Suricata_suricatta",7.9,2.62,3.84,8.22,2.86,3.91,65.73,12.6,3.35,5.58,4.19,3.1,10.73,6.5,44.56,0.5,0.34,7.76,2.37,3.37,7.57,2.59,3.57,62.69,12.25,3.46,5.68,4.25,3.12,9.56,5.68,41.77,0.34,0.24
"31","Cynictis_penicillata",8.59,2.3,3.43,8.05,2.65,4.03,67.68,22.65,6.16,2.48,5.42,3.12,11.11,6.68,46.32,0.31,0.21,8.31,2.2,3.04,7.65,2.36,3.59,66.35,21.92,5.92,2.63,5.23,3.03,10.33,6.67,44.76,0.24,0.18
"34","Paradoxurus_hermaphroditus",9.96,3.16,4.56,8.83,3.46,4.46,92.01,29.2,7.14,6.51,8.14,5.27,16.84,10.9,69.24,0.67,0.47,9.1,3.23,4.27,7.89,2.99,4.37,94.54,28.84,7.36,6.31,8.13,5.3,17.6,11.11,70.05,0.65,0.51
"26","Galerella_pulverulenta",7.64,2.52,3.42,7.55,2.87,4,70.29,25.37,7.32,2.77,5.86,3.57,11.58,7.81,47.85,0.38,0.28,6.63,2.1,2.82,6.86,2.28,3.15,66.81,23.59,7.08,2.6,6.09,3.4,11.18,7.41,44.76,0.25,0.19
