species,n,MBL,MWL,FBL,FWL,M/F B,M/F W,BD
Eudocimus_ruber,12,163.2,282.3,125.6,265,1.3,1.06,1.22
Phimosus_infuscatus,16,120.2,281.3,108.8,265.2,1.1,1.06,1.04
Plegadis_falcinellus,18,131,288.3,104.2,262.2,1.26,1.1,1.14
Plegadis_chihi,19,133.9,269.6,103.6,243.5,1.29,1.11,1.17
Plegadis_ridgwayi,17,117.4,298.4,92,276.8,1.28,1.08,1.18
Cercibis_oxycerca,13,161.6,399.7,152.7,394.2,1.06,1.01,1.04
Theristicus_caerulescens,20,153.8,413.4,134.6,384.8,1.14,1.07,1.06
Theristicus_caudatus,20,149,402.7,138.8,389.8,1.07,1.03,1.04
Mesembrinibis_cayennensis,9,112.6,280,108.5,283,1.04,0.99,1.05
Bostrychia_hagedash,17,134,353,134,353,1,1,1
Bostrychia_olivacea,NA,95,328,90,313,1.05,1.05,1.01
Bostrychia_rara,10,126.5,278,126.5,264,1,1.05,0.95
Threskiornis_aethiopicus,13,170,383,146,362,1.16,1.06,1.1
Threskiornis_molucca,7,188.6,380.6,153.7,363.7,1.23,1.05,1.17
Threskiornis_spinicollis,NA,169,389.5,137.8,363,1.23,1.07,1.15
Geronticus_eremita,NA,140,411.5,123,399,1.14,1.03,1.1
