species,M_wing_mm,F_wing_mm,spur_number,max_spur_length_mm,mating_system,not_in_phy,in_phy
Acryllium_vulturinum,300,300,3,7,M,0,0
Afropavo_congensis,320,280,1,12,M,0,0
Agelastes_meleagrides,220,219,1,8,M,0,0
Alectoris_chukar,156,149,1,5,M,0,0
Alectoris_graeca,167,164,1,5,M,0,0
Alectoris_magna,74,167,1,6,M,0,0
Alectoris_rufa,157,151,1,5,M,0,0
Ammoperdix_heyi,130,130,0,0,M,0,0
Arborophila_ardens,137,132,0,0,M,0,0
Arborophila_atrogularis,141,127,0,0,M,0,0
Arborophila_brunneopectus,130,134,0,0,M,1,1
Arborophila_crudigularis,143,134,0,0,M,0,0
Arborophila_gingica,147,NA,0,0,M,0,0
Arborophila_javanica,142,NA,0,0,M,0,0
Arborophila_rufipectus,153,144,0,0,M,0,0
Arborophila_rufogularis,144,137,0,0,M,0,0
Arborophila_torqueola,156,150,0,0,M,0,0
Argusianus_argus,475,325,0,0,P,0,0
Bambusicola_fytchii,144,136,1,10,M,0,0
Bambusicola_thoracicus,139,130,1,7,M,1,1
Caloperdix_oculeus,141,138,1.5,10,M,1,1
Catreus_wallichii,253,235,1,11,P,0,0
Chrysolophus_amherstiae,211,190,0.5,9,P,0,0
Chrysolophus_pictus,191,184,0.5,8,P,0,0
Coturnix_chinensis,72,67,0,0,M,0,0
Coturnix_coturnix,113,112,0,0,M,0,0
Coturnix_delegorguei,95,96,0,0,M,0,0
Coturnix_japonica,96,96,0,0,M,0,0
Coturnix_novaezelandiae,117,NA,0,0,M,1,1
Coturnix_pectoralis,104,NA,0,0,M,0,0
Coturnix_ypsilophora,88,87,0,0,M,1,1
Crossoptilon_auritum,300,297,1,21,M,0,0
Crossoptilon_crossoptilon,320,289,1,19,M,0,0
Crossoptilon_mantchuricum,291,278,1,14,M,0,0
Dendroperdix_sephaena,154,145,1,18,M,1,1
Francolinus_adspersus,177,163,1,24,M,0,0
Francolinus_afer,192,182,1.5,19,M,0,0
Francolinus_albogularis,135,127,1,13,M,1,1
Francolinus_bicalcaratus,170,159,2,15,M,1,1
Francolinus_camerunensis,171,164,2,6,M,0,0
Francolinus_capensis,212,196,2,12,M,0,0
Francolinus_castaneicollis,210,186,2,20,M,0,0
Francolinus_clappertoni,180,166,2,19,M,0,0
Francolinus_coqui,134,131,1,11,M,0,0
Francolinus_erckelii,216,185,2,22,M,0,0
Francolinus_finschi,167,166,1,10,M,0,0
Francolinus_griseostriatus,153,148,1,15,M,1,1
Francolinus_hartlaubi,143,135,0,0,M,0,0
Francolinus_harwoodi,181,164,2,16,M,0,0
Francolinus_hildebrandti,174,162,2,14,M,0,0
Francolinus_icterorhynchus,169,157,2,16,M,0,0
Francolinus_jacksoni,218,200,1.5,24,M,0,0
Francolinus_lathami,136,134,1,12,M,0,0
Francolinus_leucoscepus,200,187,2,22,M,1,1
Francolinus_levaillantii,162,158,1,8,M,1,1
Francolinus_levaillantoides,163,160,1,12,M,0,0
Francolinus_nahani,144,NA,0,0,M,0,0
Francolinus_natalensis,168,156,1,21,M,0,0
Francolinus_nobilis,198,178,2,22,M,0,0
Francolinus_ochropectus,205,176,2,22,M,0,0
Francolinus_pictus,145,146,0,0,M,0,0
Francolinus_rufopictus,213,190,2,20,M,0,0
Francolinus_schlegelii,128,123,1,12,M,1,1
Francolinus_squamatus,175,163,2,12,M,0,0
Francolinus_swainsonii,191,174,1,23,M,0,0
Francolinus_swierstrai,171,167,1.5,16,M,0,0
Galloperdix_lunulata,158,145,2,10,M,0,0
Gallus_gallus,240,193,1,31,P,0,0
Gallus_lafayetii,234,191,1,30,P,1,1
Gallus_sonneratii,238,208,1,28,P,1,1
Gallus_varius,233,195,1,26,P,0,0
Guttera_plumifera,244,99,0,0,M,0,0
Guttera_pucherani,264,99,0,0,M,1,1
Haematortyx_sanguiniceps,168,160,2,9,M,0,0
Ithaginis_cruentus,194,185,2.5,10,M,0,0
Lophophorus_impejanus,292,275,1,13,M,0,0
Lophophorus_lhuysii,343,320,1,9,M,1,1
Lophophorus_sclateri,306,294,1,13,M,0,0
Lophura_bulweri,258,230,1,18,P,0,0
Lophura_diardi,230,230,1,30,P,0,0
Lophura_edwardsi,230,215,1,25,P,0,0
Lophura_erythrophthalma,245,210,1,26,P,0,0
Lophura_ignita,275,248,1,39,P,0,0
Lophura_inornata,235,NA,1,10,P,0,0
Lophura_leucomelanos,238,209,1,17,P,1,1
Lophura_nycthemera,248,237,1,32,P,0,0
Lophura_swinhoii,255,243,1,24,P,1,1
Margaroperdix_madagarensis,130,130,0,0,M,1,1
Meleagris_gallopavo,450,410,1,22,P,1,1
Meleagris_ocellata,360,99,1,35,P,1,1
Numida_meleagris,276,99,0,0,M,0,0
Pavo_cristatus,470,410,1,25,P,0,0
Perdicula_asiatica,85,84,0,0,M,0,0
Perdix_dauurica,147,145,0,0,M,1,1
Perdix_hodgsoniae,160,152,0,0,M,1,1
Perdix_perdix,158,151,0,0,M,0,0
Phasianus_colchicus,232,199,1,11,P,0,0
Phasianus_versicolor,229,198,1,11,P,0,0
Polyplectron_bicalcaratum,225,195,2,14,P,0,0
Polyplectron_chalcurum,171,156,1.5,10,P,0,0
Polyplectron_napoleonis,194,173,1.5,13,P,1,1
Scleroptila_shelleyi,162,157,1,12,M,1,1
Scleroptila_streptophorus,153,150,0,0,M,1,1
