species,ML,FL,TL,ME,SSD,SL
Cyrtodiopsis_dalmanni,7.17,6.92,4.3,8.83,1.036,0.176
Cyrtodiopsis_quinqueguttata,7.41,7.47,3.96,4.37,0.992,0.183
Cyrtodiopsis_whitei,7.27,6.83,2.94,9.5,1.064,0.191
Diasemopsis_aethiopica,7.38,7.02,4.77,7.46,1.051,2.988
Diasemopsis_dubia,6.76,6.58,2.6,7.43,1.027,1.454
Diasemopsis_munroi,6.26,6.51,5.89,6.74,0.962,0.92
Diasemopsis_obstans,6.7,6.07,2.59,7.08,1.104,1.618
Diopsis_apicalis,8.32,8.28,2.95,9.95,1.005,0.419
Diopsis_fumipennis,7.44,7.65,2.61,7.5,0.973,0.465
Sphyracephala_brevicornis,5.35,5.84,2.45,1.94,0.916,0.497
Teleopsis_quadriguttata,6.01,6.19,2.21,3.99,0.971,0.227
